Name,Buy,Sell,Found Buy Prices,Found Sell Prices
slouch beanie,31.15,37.21,"[30, 35, 35, 30, 33, 38, 25, 25, 35, 21, 35, 40, 35, 37, 30, 35, 19, 35, 35, 35, 30, 16, 16, 35, 35, 35]","[40, 50, 30, 20, 38, 30, 42, 42, 42, 45, 45, 22, 35, 40, 40, 30, 20, 45, 18, 45, 45, 38, 38, 20, 40, 55, 32, 40, 50, 45, 25, 42, 25, 35, 40, 40, 55, 25, 53, 38, 50, 45, 55, 53, 50, 25, 40, 45, 45, 25, 41, 41, 25, 25, 35, 40, 20, 28, 45, 23, 23, 30, 60, 60, 40, 25, 25, 45, 40, 40, 35, 43, 43, 40, 40, 25, 23, 22, 30, 40, 40, 40, 25, 40, 25, 20, 40, 40, 25, 38, 35, 40, 55, 55, 35, 20, 50, 40, 45, 25, 22, 47, 47, 45, 23, 23, 25, 45, 45, 40, 40, 35, 25, 45, 45, 25, 43, 43, 50, 27, 22, 50, 37, 25, 40, 25, 20, 40, 38, 22, 60, 60, 60, 50, 38, 38, 38, 50, 35, 7, 30, 35, 40, 41, 50, 40, 40, 35, 35, 22]"
snowfrost's top hat,N/A,N/A,N/A,N/A
sombrero,N/A,1.0,N/A,"[1, 1]"
sombrero assault,N/A,N/A,N/A,N/A
spelunker's headlamp,N/A,3.55,N/A,"[4, 2, 4, 5, 5, 2, 4, 3, 5, 4, 5, 5, 2, 4, 3, 3, 4, 3, 4, 7, 7, 3, 5, 4, 4, 5, 5, 3, 2, 3, 1, 2, 5, 2, 2, 4, 5, 3, 1, 2, 3, 5, 4, 3, 3, 3, 3, 4, 2, 3, 5, 2, 5, 3, 2, 5, 5, 3, 1, 3]"
spiritual resonator,35.62,42.08,"[40, 40, 30, 25, 35, 40, 45, 30]","[40, 35, 35, 50, 45, 50, 45, 45, 45, 37, 40, 45, 32, 35, 35, 34, 40, 40, 35, 35, 45, 45, 48, 40, 40, 35, 40, 40, 50, 40, 40, 49, 60, 60, 45, 40]"
spring crown,N/A,80.5,N/A,"[1, 160]"
spring flinger frog mask,N/A,10.0,N/A,"[4, 1, 25]"
spring flinger squirrel mask,N/A,N/A,N/A,N/A
sprout hat,39.33,119.44,"[90, 26, 2]","[130, 145, 90, 90, 125, 120, 125, 155, 95]"
stained glass crown,293.91,281.43,"[240, 320, 320, 320, 340, 330, 330, 230, 330, 350, 250, 265, 250, 270, 320, 340, 220, 320, 275, 280, 250, 330, 280]","[250, 230, 300, 260, 260, 255, 270, 280, 270, 300, 240, 255, 330, 300, 290, 260, 320, 155, 270, 350, 300, 270, 350, 260, 230, 310, 230, 260, 280, 300, 310, 265, 265, 335, 300, 220, 330, 285, 300, 335, 290, 220, 325, 260, 330, 330, 330, 270, 280, 330, 290, 290, 275, 330, 340, 250, 300, 340, 340, 190, 400, 245, 250, 255, 230, 250, 270, 245, 300, 240, 330, 250, 225, 220, 280, 270, 270, 235, 320, 320, 330, 330, 350, 300, 230, 270, 240, 260, 350, 350, 370, 325, 240, 280, 400, 275, 270, 330, 270, 245, 245, 260, 345, 235, 290, 235, 270, 220, 240, 285, 280, 250, 280, 240, 220, 240, 250, 330, 330, 330, 270, 260, 240, 235, 240, 260, 280, 280, 270, 250, 240, 310, 250, 320, 265, 330, 300, 260, 225, 260, 230, 270, 265, 325, 350, 225, 230, 230, 235, 265, 410, 330, 335, 335, 225, 400, 270, 330, 350, 335, 250, 420, 420, 300, 225, 265, 250, 245, 245, 220, 305, 290, 245, 250, 260, 270, 300, 250, 320, 270, 285, 300, 300, 300, 240, 250, 290, 330, 225, 330, 285, 310, 240, 340, 250, 230, 310, 240, 260, 320, 295, 270, 200, 280, 250, 320, 300, 280, 250, 255, 275, 300, 290, 280, 250, 300, 330, 330, 260, 300, 350, 270, 260, 250, 190, 240, 320, 260]"
star captain's hat,N/A,N/A,N/A,N/A
starfire crown,128.75,142.11,"[70, 150, 110, 340, 100, 180, 5, 75]","[90, 110, 200, 100, 95, 95, 100, 120, 135, 100, 150, 110, 87, 87, 125, 350, 120, 120, 180, 100, 100, 155, 90, 200, 190, 170, 200, 165, 85, 94, 90, 90, 135, 85, 310, 115, 350, 175, 1, 1, 160, 100, 93, 100, 90, 90, 100, 170, 100, 115, 180, 180, 350, 95, 105, 95, 100, 93, 95, 160, 190, 3, 100, 100, 100, 135, 110, 110, 1, 95, 360, 170, 100, 330, 90, 90, 355, 90, 90, 275, 90, 310, 120, 160, 180, 110, 315, 190, 310, 350, 350, 1, 115, 110, 100, 100, 125, 125, 110, 340, 195, 195, 1, 95, 200, 1, 125, 125, 220, 105, 1, 100, 100, 180, 90, 90, 130, 110, 90, 175, 180, 95, 190, 115, 310, 310, 95, 210, 100, 110, 200, 180, 350, 85, 240, 100, 90, 100, 3, 195, 90, 155, 90, 105, 90, 100, 100, 230, 90, 320, 100, 170, 100, 95, 90, 320, 110, 95, 112, 110, 90, 90, 95, 310, 85, 170, 95, 90, 210, 95, 95, 175, 100, 90, 100, 100, 160, 180, 110, 210, 95, 90, 95, 80, 80, 330, 330, 330, 90, 1, 95, 170, 85, 85, 95, 97, 270, 90, 90, 185, 100, 300, 90, 130, 95, 80, 80, 115, 310, 90, 305, 305, 190, 290, 95, 95, 180, 100, 185, 90, 90, 140, 120, 220, 110, 110, 94, 90, 90, 200, 110, 110, 110, 100, 340, 340, 95, 95, 170, 90, 100, 100]"
stars and stripes cap,0.5,0.5,[0.5],[0.5]
stars and stripes hat,N/A,0.33,N/A,[0.3333333333333333]
startopian empire - combat troop mk.ii helmet,N/A,N/A,N/A,N/A
steampunk top hat,N/A,N/A,N/A,N/A
stingray hat,4.0,411.43,[4],"[410, 410, 410, 410, 440, 420, 380]"
stinky bucket,2.0,0.03,[2],[0.02857142857142857]
straw fedora,0.98,0.86,"[2, 2, 0.3333333333333333, 0.3333333333333333, 0.25]","[1, 0.3333333333333333, 1, 1, 0.5, 0.5, 0.3333333333333333, 2, 2, 0.3333333333333333, 0.5, 1, 0.3333333333333333, 1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 4, 0.5, 2, 2, 0.3333333333333333, 1, 0.3333333333333333, 0.3333333333333333, 1, 0.25, 0.2, 0.2, 2, 0.5, 0.5, 0.5]"
straw hat,35.5,9.0,"[21, 50]",[9]
strawbeanie,1995.0,689.06,"[40, 3950]","[48, 56, 52, 52, 53, 51, 5150, 44, 51, 55, 50, 5175, 54, 48, 45, 41]"
sunflower hair pin,N/A,37.6,N/A,"[1, 1, 3, 180, 3]"
super utility helmet - red,N/A,N/A,N/A,N/A
super utility helmet - yellow,N/A,15.0,N/A,"[20, 10]"
superfly hat,N/A,167.5,N/A,"[200, 135]"
swamp monster head,N/A,32.78,N/A,"[25, 35, 30, 30, 35, 40, 40, 25, 35]"
tars lamora miner helmet,N/A,1.5,N/A,"[1, 2]"
team headband - build,N/A,2.0,N/A,[2]
team headband - grow,N/A,N/A,N/A,N/A
team headband - punch,N/A,N/A,N/A,N/A
the beast with a thousand eyes mask,N/A,N/A,N/A,N/A
the brother hood,83.33,95.88,"[80, 60, 85, 90, 100, 85]","[60, 90, 100, 95, 90, 90, 115, 115, 110, 65, 115, 115, 100, 90, 90, 90, 100]"
thinking cap,210.0,204.62,[210],"[220, 200, 185, 185, 250, 230, 210, 190, 150, 230, 190, 190, 230]"
toasted villager hat,N/A,1.0,N/A,"[1, 1, 1, 1, 1, 1, 1, 1]"
tony's tiger mask,N/A,N/A,N/A,N/A
top hat,288.0,122.5,[288],"[20, 225]"
totally legit bunny ears,165.83,181.11,"[150, 135, 180, 200, 180, 150]","[155, 200, 180, 155, 200, 195, 200, 210, 210, 150, 150, 180, 175, 170, 155, 165, 200, 200, 190, 150, 175, 210, 180, 200, 185, 185, 180, 175, 190, 145, 150, 175, 170, 145, 210, 200, 150, 230, 170, 190, 170, 160, 200, 185, 180, 165, 170, 150, 210, 150, 190, 190, 195, 200, 195, 175, 195, 195, 220, 210, 200, 145, 200, 175, 200, 160, 160, 175, 180, 160, 175, 200]"
traditional harvest hat,N/A,N/A,N/A,N/A
tragicomic mask,N/A,66.88,N/A,"[70, 60, 65, 70, 60, 70, 70, 70]"
turkey hat,N/A,N/A,N/A,N/A
turtle hat,9.5,11.0,"[15, 4]","[7, 9, 5, 15, 15, 11, 15]"
txmom's crown,541.0,934.2,"[10, 1050, 10, 730, 905]","[900, 1010, 1450, 1250, 1250, 1055, 900, 1400, 780, 770, 1010, 850, 825, 880, 910, 800, 1150, 920, 1380, 1265, 890, 1015, 1380, 910, 1320, 880, 11, 13, 12, 840]"
typewriter hat,N/A,N/A,N/A,N/A
ultra party glow top hat,N/A,N/A,N/A,N/A
ultra spring flinger frog mask,N/A,25.0,N/A,[25]
unicorn horn,N/A,20.6,N/A,"[20, 25, 20, 23, 22, 25, 25, 25, 19, 25, 19, 16, 18, 22, 20, 15, 18, 15, 20, 20]"
unlucky pinata hat,N/A,2.0,N/A,[2]
ursal hood,37.0,65.45,"[30, 10, 60, 50, 35]","[80, 55, 70, 60, 100, 50, 100, 100, 60, 55, 55, 70, 50, 50, 60, 50, 60, 60, 40, 55, 90, 70]"
valkyrie's helm,300.0,318.62,[300],"[320, 360, 320, 300, 330, 310, 300, 310, 330, 295, 300, 300, 315, 330, 330, 300, 300, 315, 350, 330, 320, 315, 315, 330, 320, 330, 300, 330, 335]"
vampire hunter hat,N/A,2.0,N/A,"[2, 2, 2]"
viking helmet,N/A,7.71,N/A,"[50, 0.03333333333333333, 0.01, 0.01, 0.03333333333333333, 0.03333333333333333, 0.0125, 0.01, 0.03333333333333333, 0.01, 0.01, 0.01, 50]"
waay chivo mask,241.0,443.61,"[2, 480]","[400, 400, 400, 395, 390, 430, 475, 500, 430, 420, 550, 580, 380, 415, 420, 600, 400, 400]"
waay chivo skull,N/A,462.35,N/A,"[510, 400, 500, 450, 450, 385, 385, 570, 410, 430, 430, 380, 570, 410, 680, 560, 420, 570, 575, 465, 520, 390, 400, 420, 390, 350, 470, 470, 500, 350, 450, 480, 360, 465, 440, 520, 420, 600, 390, 385, 385, 410, 510, 400, 380, 465, 465, 380, 670, 440, 400, 470, 460, 525, 390, 415, 490, 580, 400, 400, 400, 450, 650, 710, 565, 450, 540, 470, 380, 430, 430, 500, 430, 380, 450, 450, 465, 450, 450, 380, 370, 365, 440, 480, 350, 430, 420, 420, 570, 550, 550, 420, 620, 450, 420, 470, 550, 650]"
water gun hat,3.0,65.0,[3],[65]
wedding headdress,N/A,N/A,N/A,N/A
widow's hat,N/A,6.0,N/A,[6]
winter freezer teddy mask,N/A,5.0,N/A,"[10, 2, 3]"
witch hat,N/A,N/A,N/A,N/A
wizard hat,N/A,1.54,N/A,"[0.06666666666666667, 0.5, 7, 0.2, 1, 1, 1]"
yellow hardhat,N/A,N/A,N/A,N/A
zephyr helm,290.0,379.86,"[275, 360, 270, 280, 270, 275, 300]","[330, 405, 405, 400, 310, 390, 325, 455, 390, 410, 400, 400, 415, 350, 420, 385, 411, 380, 390, 390, 460, 460, 285, 380, 450, 275, 400, 390, 280, 420, 390, 380, 395, 420, 380, 450, 280, 400, 400, 280, 380, 410, 385, 350, 375, 375, 415, 415, 390, 410, 400, 420, 395, 390, 275, 390, 390, 420, 420, 285, 270, 330, 280, 405]"
zombie defense force helmet,N/A,N/A,N/A,N/A
