Name,Buy,Sell,Found Buy Prices,Found Sell Prices
slouch beanie,31.15,37.21,"[37, 16, 16, 30, 21, 35, 30, 25, 40, 35, 35, 30, 30, 35, 35, 19, 38, 35, 25, 35, 35, 35, 35, 35, 33, 35]","[32, 40, 40, 25, 45, 25, 20, 55, 20, 37, 38, 35, 25, 40, 40, 45, 40, 25, 25, 40, 35, 40, 30, 55, 23, 27, 25, 38, 40, 45, 45, 45, 38, 23, 20, 55, 30, 50, 60, 60, 50, 40, 40, 40, 22, 45, 22, 35, 41, 41, 45, 45, 55, 55, 45, 60, 60, 25, 40, 35, 40, 50, 42, 50, 30, 7, 38, 40, 25, 45, 42, 42, 42, 23, 23, 50, 23, 20, 40, 30, 45, 45, 25, 40, 25, 53, 40, 40, 38, 38, 38, 45, 45, 40, 40, 40, 35, 25, 25, 30, 35, 38, 40, 40, 50, 18, 40, 40, 25, 40, 22, 50, 43, 43, 25, 20, 25, 50, 25, 53, 47, 47, 50, 38, 35, 43, 43, 25, 28, 41, 60, 45, 50, 22, 45, 45, 40, 40, 35, 22, 35, 35, 20, 25, 30, 25, 20, 35, 40, 22]"
snowfrost's top hat,N/A,N/A,N/A,N/A
sombrero,N/A,1,N/A,"[1, 1]"
sombrero assault,N/A,N/A,N/A,N/A
spelunker's headlamp,N/A,3.55,N/A,"[2, 3, 3, 3, 3, 4, 5, 5, 3, 4, 1, 3, 5, 4, 2, 2, 4, 3, 3, 2, 5, 4, 3, 5, 4, 4, 2, 4, 5, 5, 2, 7, 7, 5, 1, 5, 3, 2, 3, 3, 4, 1, 2, 3, 5, 4, 4, 4, 2, 3, 5, 5, 2, 3, 3, 2, 5, 5, 5, 3]"
spiritual resonator,35.62,42.08,"[40, 30, 40, 45, 35, 25, 30, 40]","[40, 50, 45, 45, 40, 45, 60, 40, 37, 34, 45, 45, 45, 40, 40, 50, 35, 35, 40, 40, 35, 35, 60, 35, 48, 35, 35, 40, 40, 32, 40, 40, 50, 45, 45, 49]"
spring crown,N/A,80.5,N/A,"[160, 1]"
spring flinger frog mask,N/A,10,N/A,"[4, 25, 1]"
spring flinger squirrel mask,N/A,N/A,N/A,N/A
sprout hat,39.33,119.44,"[2, 26, 90]","[95, 155, 90, 90, 120, 130, 125, 125, 145]"
stained glass crown,293.91,281.43,"[250, 340, 330, 320, 320, 330, 230, 220, 320, 320, 275, 320, 280, 280, 350, 340, 330, 250, 270, 250, 330, 265, 240]","[250, 290, 350, 330, 260, 270, 245, 300, 335, 320, 420, 420, 270, 300, 330, 250, 255, 265, 200, 300, 235, 320, 310, 310, 260, 240, 240, 260, 250, 250, 245, 270, 285, 330, 330, 330, 270, 325, 245, 400, 250, 320, 300, 260, 330, 250, 250, 330, 220, 230, 260, 270, 280, 260, 300, 225, 260, 335, 255, 270, 230, 330, 340, 240, 345, 225, 370, 300, 275, 240, 240, 280, 255, 400, 230, 300, 270, 250, 260, 275, 250, 280, 230, 325, 285, 330, 300, 300, 265, 255, 230, 300, 300, 300, 330, 220, 320, 240, 300, 190, 300, 235, 250, 260, 225, 235, 245, 245, 240, 325, 220, 250, 310, 270, 320, 250, 350, 245, 350, 290, 290, 350, 350, 270, 270, 290, 300, 350, 330, 265, 300, 280, 220, 330, 400, 330, 270, 240, 290, 290, 250, 330, 270, 340, 340, 235, 250, 270, 240, 335, 280, 300, 300, 260, 320, 240, 260, 220, 330, 265, 265, 280, 305, 190, 300, 350, 280, 290, 230, 330, 240, 270, 280, 270, 240, 260, 330, 225, 240, 270, 335, 330, 235, 280, 270, 270, 330, 410, 250, 335, 250, 320, 295, 285, 265, 310, 280, 280, 230, 275, 250, 285, 310, 260, 290, 250, 330, 330, 340, 270, 250, 260, 350, 270, 155, 260, 225, 225, 220, 320, 245, 300, 240, 230, 260, 230, 280, 260]"
star captain's hat,N/A,N/A,N/A,N/A
starfire crown,128.75,142.11,"[70, 110, 5, 180, 75, 340, 150, 100]","[95, 100, 200, 90, 135, 190, 90, 90, 90, 90, 85, 94, 310, 310, 90, 112, 220, 95, 85, 210, 180, 90, 90, 94, 180, 90, 90, 125, 125, 93, 130, 1, 90, 95, 95, 170, 100, 100, 100, 95, 190, 90, 175, 100, 180, 185, 200, 100, 155, 340, 340, 340, 100, 140, 320, 110, 110, 190, 95, 110, 175, 110, 1, 155, 270, 90, 200, 275, 160, 95, 95, 350, 120, 120, 95, 160, 95, 105, 100, 300, 100, 95, 100, 100, 350, 90, 90, 95, 105, 200, 100, 3, 175, 355, 100, 100, 105, 93, 160, 100, 100, 110, 100, 95, 330, 115, 100, 95, 90, 90, 320, 200, 110, 95, 165, 100, 230, 110, 290, 90, 95, 100, 110, 360, 90, 1, 1, 115, 90, 120, 95, 190, 310, 90, 90, 100, 100, 350, 90, 90, 315, 110, 1, 170, 110, 115, 240, 110, 350, 95, 180, 100, 100, 135, 87, 87, 100, 170, 115, 90, 90, 310, 125, 125, 125, 110, 170, 110, 305, 305, 210, 90, 180, 100, 95, 110, 330, 100, 210, 1, 80, 80, 100, 190, 310, 195, 195, 180, 180, 85, 85, 90, 90, 135, 95, 160, 97, 220, 180, 170, 170, 180, 95, 85, 100, 95, 195, 90, 90, 100, 150, 115, 310, 100, 3, 200, 85, 120, 110, 170, 130, 100, 330, 330, 90, 110, 95, 95, 90, 90, 90, 1, 80, 80, 310, 1, 350, 110, 100, 350, 185, 120]"
stars and stripes cap,0.5,0.5,[0.5],[0.5]
stars and stripes hat,N/A,0.33,N/A,[0.3333333333333333]
startopian empire - combat troop mk.ii helmet,N/A,N/A,N/A,N/A
steampunk top hat,N/A,N/A,N/A,N/A
stingray hat,4,411.43,[4],"[410, 440, 420, 410, 380, 410, 410]"
stinky bucket,2,0.03,[2],[0.02857142857142857]
straw fedora,0.98,0.86,"[2, 2, 0.3333333333333333, 0.3333333333333333, 0.25]","[2, 2, 0.2, 0.2, 1, 0.5, 0.3333333333333333, 0.3333333333333333, 1, 1, 0.3333333333333333, 1, 0.5, 0.5, 0.5, 0.3333333333333333, 1, 0.3333333333333333, 0.3333333333333333, 2, 0.3333333333333333, 0.25, 4, 0.3333333333333333, 1, 0.5, 2, 2, 1, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333]"
straw hat,35.5,9,"[21, 50]",[9]
strawbeanie,1995,689.06,"[40, 3950]","[53, 48, 55, 51, 5175, 54, 56, 41, 45, 48, 50, 52, 52, 5150, 51, 44]"
sunflower hair pin,N/A,37.6,N/A,"[1, 1, 180, 3, 3]"
super utility helmet - red,N/A,N/A,N/A,N/A
super utility helmet - yellow,N/A,15,N/A,"[20, 10]"
superfly hat,N/A,167.5,N/A,"[200, 135]"
swamp monster head,N/A,32.78,N/A,"[35, 35, 30, 25, 30, 40, 40, 35, 25]"
tars lamora miner helmet,N/A,1.5,N/A,"[2, 1]"
team headband - build,N/A,2,N/A,[2]
team headband - grow,N/A,N/A,N/A,N/A
team headband - punch,N/A,N/A,N/A,N/A
the beast with a thousand eyes mask,N/A,N/A,N/A,N/A
the brother hood,83.33,95.88,"[100, 85, 90, 60, 85, 80]","[100, 65, 100, 90, 90, 110, 90, 100, 90, 90, 90, 115, 115, 115, 115, 60, 95]"
thinking cap,210,204.62,[210],"[250, 220, 185, 200, 230, 230, 150, 190, 190, 185, 210, 190, 230]"
toasted villager hat,N/A,1,N/A,"[1, 1, 1, 1, 1, 1, 1, 1]"
tony's tiger mask,N/A,N/A,N/A,N/A
top hat,288,122.5,[288],"[20, 225]"
totally legit bunny ears,165.83,181.11,"[180, 180, 200, 150, 135, 150]","[180, 210, 175, 155, 210, 150, 195, 195, 170, 160, 200, 180, 175, 200, 175, 145, 145, 195, 180, 185, 210, 150, 175, 185, 185, 155, 160, 160, 190, 200, 180, 210, 200, 200, 180, 200, 190, 200, 150, 190, 230, 210, 200, 145, 170, 200, 175, 200, 195, 200, 150, 200, 190, 200, 150, 150, 165, 170, 195, 170, 175, 165, 155, 220, 210, 160, 180, 175, 170, 150, 175, 190]"
traditional harvest hat,N/A,N/A,N/A,N/A
tragicomic mask,N/A,66.88,N/A,"[60, 70, 60, 70, 65, 70, 70, 70]"
turkey hat,N/A,N/A,N/A,N/A
turtle hat,9.5,11,"[4, 15]","[11, 15, 15, 5, 15, 7, 9]"
txmom's crown,541,934.2,"[10, 905, 10, 730, 1050]","[910, 900, 890, 920, 880, 880, 825, 12, 1450, 1380, 1015, 1150, 1320, 770, 850, 1380, 1010, 910, 840, 800, 1055, 11, 1400, 1010, 780, 900, 1265, 13, 1250, 1250]"
typewriter hat,N/A,N/A,N/A,N/A
ultra party glow top hat,N/A,N/A,N/A,N/A
ultra spring flinger frog mask,N/A,25,N/A,[25]
unicorn horn,N/A,20.6,N/A,"[20, 20, 18, 18, 20, 20, 19, 20, 15, 23, 19, 25, 25, 25, 25, 15, 25, 16, 22, 22]"
unlucky pinata hat,N/A,2,N/A,[2]
ursal hood,37,65.45,"[35, 30, 10, 50, 60]","[55, 55, 50, 55, 100, 100, 60, 50, 60, 60, 80, 55, 70, 50, 90, 60, 40, 70, 70, 50, 100, 60]"
valkyrie's helm,300,318.62,[300],"[350, 330, 300, 320, 320, 300, 330, 295, 310, 310, 320, 330, 330, 315, 330, 330, 360, 315, 300, 300, 335, 300, 315, 330, 330, 300, 300, 320, 315]"
vampire hunter hat,N/A,1.6,N/A,"[2, 1, 2, 2, 1]"
viking helmet,N/A,7.71,N/A,"[0.01, 0.01, 0.01, 50, 0.01, 0.03333333333333333, 0.03333333333333333, 0.01, 50, 0.0125, 0.03333333333333333, 0.03333333333333333, 0.01]"
waay chivo mask,241,443.61,"[480, 2]","[390, 420, 400, 400, 400, 400, 400, 550, 430, 420, 500, 430, 580, 475, 600, 380, 395, 415]"
waay chivo skull,N/A,462.35,N/A,"[560, 570, 520, 380, 420, 400, 360, 350, 380, 470, 430, 465, 430, 400, 400, 420, 550, 550, 575, 390, 480, 570, 480, 565, 470, 510, 490, 525, 440, 410, 390, 450, 450, 380, 350, 430, 430, 670, 450, 410, 570, 430, 430, 400, 450, 380, 465, 465, 420, 420, 370, 580, 650, 500, 600, 500, 410, 470, 470, 520, 380, 470, 500, 510, 460, 415, 440, 385, 385, 450, 420, 650, 385, 385, 400, 365, 680, 620, 400, 390, 440, 350, 380, 450, 450, 400, 570, 450, 450, 710, 465, 540, 420, 420, 550, 450, 390, 465]"
water gun hat,3,65,[3],[65]
wedding headdress,N/A,N/A,N/A,N/A
widow's hat,N/A,6,N/A,[6]
winter freezer teddy mask,N/A,5,N/A,"[3, 10, 2]"
witch hat,N/A,N/A,N/A,N/A
wizard hat,N/A,1.54,N/A,"[0.06666666666666667, 0.5, 1, 1, 0.2, 7, 1]"
yellow hardhat,N/A,N/A,N/A,N/A
zephyr helm,290,379.86,"[275, 280, 360, 275, 270, 270, 300]","[390, 375, 375, 410, 350, 420, 280, 400, 385, 275, 330, 390, 460, 460, 400, 415, 390, 395, 280, 380, 350, 420, 450, 405, 405, 285, 325, 280, 420, 390, 390, 410, 310, 390, 420, 450, 385, 411, 390, 410, 395, 405, 380, 400, 380, 380, 390, 400, 380, 275, 400, 400, 390, 285, 420, 390, 420, 455, 415, 415, 270, 280, 400, 330]"
zombie defense force helmet,N/A,N/A,N/A,N/A
