Name,Buy,Sell,buyPrices,sellPrices
pet leprechaun,0.88,1.71,"[1, 1, 1, 0.5]","[1, 2, 2, 1, 1, 0.5, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 3, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1]"
pet pidgeon,26.6,24.45,"[15, 20, 15, 70, 13]","[17, 14, 40, 40, 15, 15, 35, 17, 15, 30, 13, 17, 25, 25, 25, 14, 20, 20, 50, 50, 12, 20, 15, 20, 15, 15, 15, 20, 43, 12, 17, 17, 18, 18, 60, 13, 20, 9, 20, 13, 15, 15, 80, 30, 50, 17, 17, 17, 9, 17, 30, 19, 15, 17, 15, 15, 85, 10, 18, 15, 20, 18, 17, 13, 30, 65, 35, 20, 16, 18, 17, 20, 15, 28, 16, 20, 45, 20, 20, 13, 40, 80, 15, 10, 20, 20, 14, 12, 25, 25, 12, 19, 20, 30, 14, 80, 25, 30, 20, 16, 12, 13, 15, 14, 15, 50, 50, 30, 70, 45, 15, 15, 40, 13, 20, 30, 10, 30, 16, 15, 14, 14, 19, 15, 12, 15, 20, 20, 20, 15, 78, 15, 15, 30, 1, 15, 20, 90, 0.03333333333333333, 15, 13, 40, 40, 70, 15, 20, 15, 90, 17, 45, 25, 10, 50, 15, 15, 15, 15, 13, 20, 30, 30, 19, 25, 13]"
pet pink crocodile,20.25,931.31,"[20, 20, 20, 21]","[21, 100, 3280, 3600, 75, 75, 2215, 50, 2350, 2350, 95, 100, 26, 26, 22, 120, 2200, 110, 37, 34, 2360, 35, 2700, 34, 36, 36, 29, 29, 3600, 2000, 2495, 2495, 3600, 25, 31, 65, 31, 70, 75, 37, 37, 100, 29, 2300, 3200, 3200, 35, 24, 40]"
pet punching ghost,492.24,584.66,"[810, 900, 400, 700, 9, 550, 500, 850, 5, 820, 255, 500, 500, 500, 840, 550, 4, 500, 600, 540, 4]","[600, 420, 950, 460, 560, 560, 420, 800, 800, 500, 11, 540, 850, 27, 910, 500, 500, 430, 940, 450, 9, 535, 850, 425, 850, 550, 930, 950, 9, 720, 420, 860, 860, 830, 420, 9, 535, 920, 920, 950, 935, 580, 27, 900, 10, 925, 925, 700, 470, 800, 600, 440, 760, 760, 770, 800, 420, 22, 920, 27, 700, 430, 450, 480, 850, 650, 550, 8, 2300, 450, 450, 700, 930, 4, 550, 580, 26, 550, 550, 6, 650, 540, 415, 415, 525, 500, 470, 460, 9, 900, 900, 950, 950, 460, 460, 8, 850, 9, 9, 8, 550, 550, 500, 520, 940, 1400, 945, 760, 430, 430, 450, 450, 450, 450, 630, 570, 930, 910, 910, 830, 560, 560, 550, 550, 850, 7, 12, 380, 580, 650, 650, 650, 550, 550, 550, 950, 450, 700, 905, 420, 800, 860, 720, 450, 450, 900, 540, 430, 900, 550, 550, 550, 555, 555, 510, 560, 11, 10, 415, 520, 970, 450, 580, 980, 530, 13, 550, 570, 2200, 510, 8, 450, 830, 600, 975, 450, 450, 600, 650, 650, 980, 10, 480, 480, 1000, 650, 950, 950, 530, 530, 530, 955, 530, 570, 900, 800, 800, 570, 570, 25, 820, 780, 480, 530, 920, 410, 410, 480, 480, 580, 18, 440, 570]"
pet rock,1,1.52,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 0.005, 1, 2, 1, 2, 1, 1, 2, 1, 2, 0.01, 1, 2, 3, 1, 1, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 0.015151515151515152, 2, 1, 2, 2, 2, 1, 2, 2, 2]"
pet royal guard,47.69,479.26,"[3, 3, 300, 2, 5, 4, 9, 3, 3, 5, 3, 3, 4, 3, 4, 6, 9, 3, 8, 350, 3, 3, 3, 3, 330, 3, 4, 4, 300]","[380, 900, 500, 9, 7, 320, 360, 420, 5, 350, 500, 480, 480, 600, 9, 4, 460, 370, 500, 500, 4, 850, 400, 480, 325, 1250, 450, 450, 500, 500, 500, 500, 600, 600, 600, 5, 675, 6, 7, 8, 750, 500, 1100, 900, 500, 1200, 410, 435, 1750, 700, 15, 500, 500, 500, 500, 500, 450, 18, 900, 690, 690, 550, 380, 400, 450]"
pet slime,18.66,28.53,"[13, 18, 13, 19, 13, 19, 16, 15, 12, 17, 18, 27, 20, 14, 14, 18, 18, 15, 17, 15, 20, 15, 16, 20, 20, 18, 35, 19, 0.045454545454545456, 60, 20, 18, 12, 17, 25, 20, 14, 60, 16, 15, 15, 17, 16, 20, 18, 14, 18, 17, 18, 18, 14, 18, 13, 12, 12, 25, 20, 14, 18, 18, 30, 21]","[20, 20, 23, 18, 23, 19, 13, 21, 70, 65, 65, 20, 20, 19, 65, 20, 20, 20, 20, 25, 20, 65, 3, 20, 70, 20, 80, 20, 17, 17, 55, 55, 19, 20, 27, 75, 60, 20, 80, 22, 20, 17, 65, 19, 19, 27, 60, 23, 20, 75, 20, 20, 20, 20, 20, 20, 19, 16, 19, 65, 18, 18, 20, 19, 3, 18, 18, 20, 14, 30, 30, 21, 28, 17, 50, 50, 14, 20, 18, 18, 23, 20, 65, 65, 27, 25, 25, 20, 20, 23, 19, 15, 70, 25, 70, 20, 16, 23, 20, 20, 27, 70, 19, 80, 20, 27, 75, 16, 18, 20, 20, 20, 20, 65, 80, 20, 19, 75, 21.0, 18, 20, 16, 20, 20, 25, 20, 17, 15, 70, 21, 21, 21, 65, 15, 25, 25, 25, 28, 20, 19, 21, 20, 13, 20, 28, 22, 17, 25, 18, 75, 15, 18, 20, 19, 75, 22, 20, 40, 16, 19, 17, 21, 70, 75, 30, 20, 20, 22, 70, 13, 17, 15, 15, 19, 19, 80, 19, 19, 70, 23, 21, 20, 22, 10, 20, 20, 20, 22, 18, 20, 19, 20, 18, 18, 18, 70, 30, 30, 30, 75, 22, 70, 18, 18, 60, 20, 20, 17, 17, 23, 3, 18, 70, 18, 18, 18, 20, 20, 20, 25, 20, 16, 19, 19, 70, 20, 65, 18, 20, 17, 19, 28, 20, 20, 17, 17, 19, 17, 70, 68, 20, 70, 20, 20, 25, 22, 70, 18, 18, 20, 20, 21, 17, 20, 20, 25, 19, 16, 19, 19, 23, 80, 21, 18, 20, 18, 18, 15, 20, 65, 70, 17, 17, 65, 65, 23, 22, 20, 21, 21, 25, 25, 16, 20, 70, 21, 21, 21, 75, 22, 20, 18, 18, 20, 20, 20, 19, 25, 15, 25, 30, 22, 19, 19, 20, 20, 25, 20, 20, 19, 1, 20, 65, 20, 20, 20, 20, 20, 20, 65, 23, 20, 15, 18, 20, 20, 20, 20, 20, 20, 20, 18, 75, 17, 25, 21, 18, 20, 20, 18, 18, 17, 22, 19, 19, 21, 19, 22, 12, 65, 20, 20, 20, 22, 65, 19, 19, 65, 75, 75, 25, 25, 25, 65, 16, 20, 20, 20, 19, 19, 20, 20, 24, 65, 65, 17, 25, 25, 17, 20, 55, 55, 20, 20, 20, 22, 33, 20, 16, 19, 20, 90, 15, 27, 20, 19, 19, 19, 19, 25, 75, 50, 35, 25, 21, 20, 22, 21, 20, 20, 20, 20, 20, 19, 23, 70, 22, 22, 21, 21, 100]"
pet sock,227.5,261.13,"[250, 210, 190, 260]","[220, 200, 270, 210, 265, 270, 270, 230, 280, 200, 270, 270, 290, 230, 280, 260, 270, 380, 280, 280, 270, 270, 280, 230, 270, 260, 280, 300, 230, 200, 270, 270, 270, 220, 400, 400, 270, 270, 220, 230, 300, 250, 280, 250, 300, 280, 250, 250, 210, 250, 250, 200, 200, 280, 200, 200, 240, 235, 220, 250, 400, 260]"
pet teacup,50,88.55,[50],"[1, 95, 110, 120, 90, 85, 90, 110, 1, 1, 95, 90, 95, 75, 80, 100, 95, 100, 120, 110, 105, 130, 125, 90, 90, 125, 85, 95, 80, 2, 80, 95, 95, 75, 165, 110, 80, 75]"
pet toucan,24,33.31,"[23, 20, 20, 20, 25, 25, 35]","[45, 40, 40, 33, 35, 25, 25, 35, 25, 27, 30, 45, 40, 30, 35, 35, 25, 33, 21, 21, 45, 35, 30, 35, 25, 30, 32, 40, 40, 30, 45, 40, 40, 22, 30, 27, 27, 30, 38, 40, 45, 38, 25, 24, 45, 30, 35, 29, 35, 35, 24, 40, 40, 38, 35, 35, 35, 35, 35, 40, 40, 40, 33, 45, 20, 35, 30, 30, 33, 33, 25, 25, 28, 30, 35, 40, 40, 35, 40, 40, 35, 40, 25, 25, 40, 25, 35, 40, 40, 40, 25, 30, 33, 38, 25, 35, 40, 25, 35, 20, 35, 40, 22, 35, 35, 40, 40, 17, 35, 35, 25, 25, 24, 33, 38]"
pet turtle,10.6,8.34,"[7, 25, 7, 6, 8]","[8, 6, 9, 10, 10, 7, 10, 7, 6, 6, 10, 9, 8, 7, 10, 10, 7, 7, 10, 10, 10, 8, 10, 10, 8, 7, 10, 7, 9, 9, 10, 7, 7, 9, 8, 10, 8, 7, 8, 5, 8, 5, 10, 9, 10, 12, 10, 10, 8, 8, 6, 8, 8, 7, 8, 5, 8, 9, 6, 6, 7, 7, 7, 7, 10, 10, 7, 7, 10, 9, 9, 8, 10, 10, 7, 12, 8, 10, 7, 8, 12, 8, 8, 8, 8, 8, 9, 8, 9, 7, 8, 9, 10, 7, 8, 8, 7, 8, 8, 10, 10, 7, 7, 8, 9, 10]"
phlogiston,290,316.42,"[310, 280, 280, 280, 300, 320, 260]","[300, 300, 300, 290, 385, 300, 370, 280, 300, 300, 280, 400, 300, 300, 370, 430, 360, 300, 300, 385, 250, 310, 300, 290, 380, 300, 300, 280, 385, 310, 300, 380, 300, 370, 300, 300, 260, 390, 280, 280, 360, 300, 300, 350, 360, 370, 298, 300, 180, 300, 330, 330, 300, 300, 285, 290, 300, 320, 265, 280, 385, 300]"
phoenix pacifier,6500,3040.89,[6500],"[71, 9750, 6300, 64, 65, 65, 53, 5500, 5500]"
picasso triggerfish leash,N/A,15,N/A,"[15, 15, 15]"
pigeon,N/A,17.49,N/A,"[40, 40, 35, 30, 6, 12, 15, 0.2, 25, 15, 9, 15, 7, 15, 15, 15, 15, 15, 35, 6, 40, 10, 19, 12, 15, 15, 14, 14, 15, 0.03333333333333333, 40, 5, 10, 13, 25]"
piglet leash,412.44,695.4,"[9, 880, 10, 900, 1000, 2, 2, 9, 900]","[10, 10, 7, 1150, 920, 840, 200, 10, 820, 200, 11, 800, 10, 950, 950, 900, 820, 840, 1050, 99, 850, 900, 950, 11, 1030, 900, 120, 950, 200, 980, 11, 800, 910, 1175, 8, 11, 840, 850, 1130, 840, 1090, 970, 980, 900, 10, 1150, 960, 9, 1100, 11, 950, 810, 10, 1080, 1000, 1000, 900, 800, 970, 970, 10, 840, 10, 1080, 10, 10, 950, 850, 1050, 1050, 800, 1050, 1070, 890, 920, 950, 680, 950, 1150, 1090, 750, 1130]"
pinata pal,60.5,165,"[115, 5, 2, 120]","[170, 150, 150, 190, 180, 150]"
pineapple finger ring,1,1.86,[1],"[2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 2, 2, 2, 2, 2, 2, 4, 1, 1, 1, 1, 2, 1, 3, 2, 2, 2, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 1, 1, 2]"
pineapple fish leash,27.5,N/A,"[15, 40]",N/A
pineapple kite,2,2.22,[2],"[2, 2, 5, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 3, 1, 2, 2, 2, 5, 2]"
pineapple superhero,450,470.24,[450],"[400, 500, 420, 450, 450, 560, 400, 400, 450, 450, 450, 600, 490, 450, 550, 555, 400, 400, 600, 400, 500]"
playful fire sprite,7,6,[7],"[8, 4]"
playful water sprite,7,10.2,[7],"[10, 17, 10, 5, 9]"
playful wind sprite,8.5,10,"[10, 7]","[15, 5, 5, 15]"
polar bear leash,25,39.97,"[25, 30, 20]","[80, 60, 20, 20, 60, 25, 43, 50, 40, 25, 32, 60, 48, 40, 45, 35, 35, 35, 45, 31, 35, 30, 45, 50, 35, 25, 30, 40, 40]"
pontianak pet,358.83,382.63,"[300, 380, 15, 15, 650, 670, 670, 450, 6, 350, 450, 350]","[30, 530, 430, 400, 395, 390, 360, 550, 8, 360, 10, 450, 500, 500, 490, 560, 395, 850, 400, 430, 415, 500, 12, 520, 540, 12, 350, 12, 550, 530]"
prehistoric dragon claw,2.7,4.69,"[1, 3, 3, 1, 3, 4, 2, 3, 3, 4]","[5, 3, 4, 5, 4, 2, 5, 4, 10, 10, 5, 2, 3, 6, 4, 3, 3, 5, 5, 4, 5, 10, 10, 2, 4, 4, 5, 4, 5, 4, 6, 4, 0.16666666666666666, 5, 5, 4, 9, 5, 6, 6, 5, 3, 4, 5, 6, 3, 3, 6, 9, 5, 3, 4, 6, 3, 3, 6, 2, 5, 6, 5, 3, 3, 5, 5, 4, 5, 4, 4, 5, 5, 3, 5, 5, 5, 5, 4, 3, 5, 5, 5, 4, 4, 10, 10, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 9, 9, 5, 6, 6, 3, 3, 5, 4, 4, 3]"
puddy leash,733,822.85,"[16, 1450]","[1530, 16, 1550, 1650, 1580, 17, 17, 2150, 16, 16, 1800, 1610, 1610, 1610, 18, 1550, 1600, 1590, 1610, 1530, 15, 1670, 16, 17, 1530, 16, 16, 15, 16, 1540, 16, 15, 16, 15, 22, 1800, 1650, 1600, 1530, 18, 1520, 1595, 17, 17, 15, 15, 15, 1700]"
puggly,1140,887.35,[1140],"[1200, 1100, 11, 1150, 1120, 10, 12, 1150, 15, 1080, 1200, 1150, 1300, 1300, 1080, 1125, 1150, 1150, 1050, 1135, 11, 1060, 1150, 12, 1200, 1150]"
puppy leash,662.67,766,"[19, 19, 1950]","[1950, 19, 23, 2150, 23, 1950, 19, 21, 20, 2250, 20, 20, 20, 20, 2050, 20, 1950, 2050, 20, 23, 2100, 2050, 22, 20, 21, 1950, 20, 21, 24, 18, 2120, 2350, 18, 2180, 25, 19]"
purple shore crab leash,N/A,7.67,N/A,"[6, 10, 7]"
raccoon leash,74.46,78.74,"[75, 65, 75, 75, 75, 85, 75, 70, 70, 70, 75, 75, 83]","[75, 78, 85, 75, 85, 80, 70, 70, 75, 82, 75, 78, 70, 82, 80, 81, 75, 75, 70, 80, 83, 80, 80, 80, 75, 70, 75, 80, 75, 80, 70, 70, 80, 75, 80, 85, 85, 85, 80, 80, 70, 80, 70, 75, 80, 80, 80, 85, 85, 80, 80, 85, 80, 90, 85, 78, 100, 70, 75, 70, 80, 80, 80, 80, 80, 70, 80, 80, 90, 80, 80, 80, 90, 75, 68, 68, 80, 75, 80, 80, 90, 80, 80, 80, 80, 75, 80, 75, 75, 80, 70, 85, 85, 85, 80, 80, 80, 83, 78, 70]"
radioactive synthoid,N/A,68,N/A,"[70, 70, 70, 60, 70]"
rainbow kite,15,22.58,"[15, 15, 15]","[21, 21, 25, 22, 25, 25, 25, 15, 21, 21, 25, 25]"
rainbowfish leash,N/A,18.21,N/A,"[20, 20, 20, 15, 15, 20, 15, 20, 10, 20, 15, 25, 20, 20]"
rayman's fist,N/A,N/A,N/A,N/A
really dangerous pet llama,N/A,N/A,N/A,N/A
reanimator remote,62.75,65.17,"[60, 80, 65, 60, 60, 60, 70, 60, 80, 80, 90, 50, 65, 50, 85, 35, 60, 55, 30, 60]","[65, 65, 65, 75, 70, 85, 82, 65, 80, 75, 60, 60, 40, 80, 35, 80, 60, 75, 70, 60, 40, 60, 65, 85, 55, 70, 65, 65, 65, 55, 55, 65, 75, 65, 50, 65, 80, 80, 50, 65, 50]"
red floaty balloon,N/A,50,N/A,[50]
red pet apatoceratops,N/A,3,N/A,[3]
red pet apatodon,N/A,2,N/A,[2]
red pet apatos rex,N/A,5,N/A,"[4, 3, 6, 6, 6]"
red pet apatosaurus,N/A,N/A,N/A,N/A
red pet pteranodon,N/A,4.25,N/A,"[6, 1, 4, 4, 4, 5, 5, 5]"
red pet pteranus rex,13,11.59,"[13, 13]","[5, 10, 10, 11, 11, 18, 15, 15, 10, 10, 10, 15, 12, 14, 10, 10, 15, 15, 6, 10, 9, 14]"
red pet pteratops,3,N/A,[3],N/A
red pet pterosaurus,N/A,17,N/A,"[30, 4]"
red pet triceradon,N/A,N/A,N/A,N/A
red pet triceratops,N/A,16.4,N/A,"[7, 10, 40, 15, 10]"
red pet tricerus rex,N/A,1,N/A,[1]
red pet tripatosaurus,N/A,N/A,N/A,N/A
red pet tyrannosaurus,N/A,6.5,N/A,"[8, 10, 8, 8, 7, 2, 1, 6, 10, 6, 6, 6]"
red pet tyranodon,N/A,N/A,N/A,N/A
red pet tyranopatos,N/A,5.12,N/A,"[3, 3, 5, 10, 10, 10, 10, 2, 2, 2, 5, 3, 5, 2, 5, 5, 3, 5, 5, 10, 4, 10, 2, 10, 10, 10, 4, 3, 3, 5, 2, 5, 5, 10, 5, 5, 5, 5, 5, 5, 10, 3, 5, 4, 5, 10, 3, 5, 4, 3, 4, 10, 4, 10, 10, 5, 6, 3, 3, 5, 5, 5, 5, 5, 2, 2, 7, 5, 5, 5, 0.3333333333333333, 5, 8, 5, 3, 7, 10, 2, 5, 4, 4, 4, 4, 5, 3, 7, 4, 3, 2, 2, 10, 10, 3, 3, 4, 3, 2, 5, 3, 3, 10, 5, 10, 6, 5, 4, 4, 5, 5, 5, 4, 2, 4, 10, 2, 2, 10, 3, 4]"
red pet tyranotops,N/A,N/A,N/A,N/A
reindeer bell,490,585.86,"[530, 450]","[600, 830, 450, 800, 450, 600, 1050, 500, 620, 700, 600, 7, 600, 550, 470, 460, 6, 910, 500, 800, 800]"
retro magnifying glass,20,31,"[20, 20]","[20, 30, 30, 45, 30]"
rhino horn,290,308.12,"[280, 290, 310, 280]","[300, 285, 380, 310, 305, 340, 295, 300, 290, 290, 280, 280, 310, 310, 305, 285, 300, 330, 300, 310, 300, 300, 350, 340]"
riding skeletal shark,N/A,35,N/A,"[35, 35]"
royal alpha wolf,372.5,477.04,"[400, 555, 530, 5]","[560, 700, 525, 550, 320, 550, 630, 580, 350, 500, 500, 305, 640, 630, 650, 327, 327, 327, 6, 310, 660, 590, 320, 320, 625, 585, 670, 300]"
sand shark leash,1,3,[1],"[2, 1, 2, 5, 2, 2, 6, 5, 2, 4, 2, 4, 2]"
scarecrow pet,250,278.04,[250],"[300, 280, 270, 290, 300, 290, 285, 270, 290, 290, 250, 300, 290, 280, 250, 260, 270, 290, 240, 280, 260, 260, 290, 280, 270, 290, 290, 270]"
scepter of the honor guard,40,40.15,[40],"[40, 45, 40, 45, 45, 37, 40, 35, 45, 40, 35, 40, 35]"
seahorse leash,N/A,19.59,N/A,"[2, 25, 7, 13, 10, 25, 15, 17, 25, 25, 25, 25, 25, 20, 40, 22, 12]"
shadow spirit of the underworld,N/A,865,N/A,[865]
shadow wolf leash,N/A,N/A,N/A,N/A
shady agent shades,145,137.85,"[120, 170]","[180, 180, 130, 122, 110, 130, 175, 120, 130, 115, 120, 120, 115, 120, 120, 120, 110, 170, 110, 160, 140, 140, 160, 160, 115, 170, 170, 165, 110, 160, 130, 155, 117]"
skeletal dragon claw,N/A,97.8,N/A,"[93, 110, 110, 105, 93, 90, 110, 80, 95, 100, 125, 100, 90, 85, 90, 120, 90, 90, 86, 150, 88, 85, 100, 120, 92, 87, 93, 90, 90, 100, 95, 95, 105, 90, 75, 150, 95, 85, 115, 115, 150, 110, 95, 95, 95, 27, 85, 90, 150, 80, 80, 90, 90, 95, 85, 125, 92, 90, 125, 125, 125, 76, 90, 85, 150, 90, 85, 88, 95, 88, 85, 95, 95, 90, 90, 88, 90, 80, 90, 100, 150, 83, 95, 85, 88, 120, 90, 90, 88, 120, 100, 83, 85, 90]"
skeletal shark leash,2,5.93,[2],"[5, 7, 3, 8, 5, 7, 5, 7, 5, 9, 5, 5, 8, 8, 5, 4, 8, 5, 7, 7, 5, 5, 5, 5, 5, 5, 7]"
snow cone pet,36,40.85,"[30, 40, 38]","[40, 35, 40, 40, 50, 35, 40, 33, 35, 50, 40, 33, 50, 35, 40, 40, 50, 40, 40, 50, 30, 38, 50, 40, 45, 45, 50, 40, 40, 40, 45, 40, 50, 40, 40, 36, 40, 40, 38, 40, 40, 40, 40, 40, 40, 30, 40, 40, 35, 45, 50, 40, 40, 40, 50, 40, 35, 40, 45, 50, 40, 30]"
snow husky,17.5,17.11,"[18, 17]","[16, 20, 13, 16, 15, 18, 16, 13, 14, 15, 13, 18, 18, 15, 17, 20, 20, 25, 20, 17, 16, 20, 18, 17, 20, 15, 17, 20, 21, 20, 14, 15, 15, 20, 13, 16, 15, 20, 16, 18, 16, 20, 14, 18]"
sonar bracelet,2.88,2.83,"[1.5, 2, 4, 4]","[3, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 4, 2, 2, 1, 2, 2, 3, 3, 2, 3, 3, 3, 2, 1, 3, 3, 2, 4, 2, 4, 3, 6, 3, 3, 2, 2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 4, 2, 3, 3, 4, 2, 2, 3, 2, 2, 3, 4, 4, 3, 1, 3, 5, 2, 7, 2, 2, 4, 3, 2, 2, 7, 4, 3, 3, 3, 2, 3, 2, 3, 4, 3, 1, 2, 4, 4, 3, 3, 3, 3, 2, 2, 2, 4, 2, 2, 2, 1.0, 3, 3, 2, 3, 4, 4, 5, 3, 6, 2, 2, 5, 5, 2, 2, 2, 2, 6, 2, 2, 2, 3, 4, 3, 2, 3, 6, 2, 2, 3]"
space rover,28.33,46.58,"[25, 30, 30]","[60, 60, 60, 60, 50, 50, 60, 30, 55, 20, 30, 30, 30, 50, 40, 30, 50, 60, 60]"
spiritual resonator,56.47,43.36,"[40, 100, 90, 90, 35, 35, 90, 40, 140, 45, 32, 38, 40, 35, 30, 40, 40]","[50, 50, 40, 40, 40, 40, 38, 38, 50, 50, 40, 45, 45, 45, 45, 45, 37, 45, 40, 40, 40, 40, 45, 49, 40, 55, 35, 45, 45, 42, 60, 40, 57, 40, 38, 35, 35, 34, 40, 40, 35, 35, 40, 40, 65, 50, 45, 50, 40, 50]"
spruce goose,185.62,209,"[160, 155, 230, 180, 190, 190, 230, 150]","[290, 205, 260, 240, 290, 180, 240, 190, 180, 200, 170, 205, 200, 200, 200, 190, 180, 225, 225, 205, 205, 175, 235, 220, 250, 200, 200, 220, 235, 200, 220, 153, 180, 190, 170, 170, 175, 180, 220, 235, 160, 300, 220, 185, 300, 180, 190, 200, 175, 260, 200, 190]"
star dragon claw,8,8.4,"[8, 8]","[10, 8, 9, 9, 8, 9, 8, 9, 4, 7, 7, 8, 8, 10, 8, 9, 5, 8, 8, 10, 8, 9, 9, 8, 10, 8, 8, 10, 8, 10, 12, 9, 10, 8, 7, 6, 7, 8, 9, 9, 7, 9, 9, 9, 9, 7, 6, 9, 8, 8, 9, 10, 8, 9, 9, 9, 8, 8, 7, 9, 7, 7, 8, 10, 6, 9, 9, 8, 7, 9, 8, 9, 9, 8, 8, 8, 9, 10, 8, 8, 8, 9, 8, 8, 9, 8, 9, 8, 7, 8, 9, 12, 9, 9, 8, 7, 8, 9, 10, 9, 10, 8, 9, 9, 9, 10, 9, 10, 8, 8, 9, 10, 9, 9, 7, 8, 9, 10, 7, 7, 7, 7, 9, 6, 8, 5, 8, 5, 7, 8, 9, 8, 8, 8, 8, 8, 12, 10, 10, 10, 9, 8, 9, 8, 10, 8, 8, 8, 7, 8, 9, 10, 7, 9]"
starfish leash,27.5,58.93,"[35, 20]","[45, 65, 50, 60, 45, 85, 65, 50, 55, 85, 45, 50, 70, 90, 60, 40, 90, 50, 40, 50, 80, 50, 90, 50, 60, 50, 45, 35]"
stonefish leash,15,18.5,[15],"[12, 25]"
strawberry slime,N/A,34.07,N/A,"[70, 25, 85, 35, 60, 18, 90, 23, 16, 18, 20, 17, 25, 18, 20, 85, 20, 18, 20, 22, 20, 23, 15, 15, 19, 100, 23]"
summer kite,18.29,22.08,"[20, 25, 15, 20, 15, 13, 15, 20, 20, 15, 20, 20, 25, 20, 20, 20, 15, 14, 15, 20, 20, 20, 15, 17]","[20, 20, 30, 25, 20, 20, 25, 20, 32, 18, 21, 25, 30, 12, 20, 25, 25, 20, 20, 20, 17, 17, 20, 20, 20, 30, 25, 25, 27, 20, 20, 22, 15, 18, 20, 14, 25, 25, 20, 20, 18, 40, 15, 22, 20, 25, 20, 25, 22, 22, 25, 20, 26, 23, 30, 20, 22, 20, 20]"
sunfish leash,5,N/A,[5],N/A
super-dragon mask,4,4.55,"[4, 4, 4]","[6, 4, 4, 4, 5, 5, 3, 4, 5, 7, 6, 5, 5, 3, 4, 5, 5, 4, 5, 4, 4, 4, 3, 4, 6, 4, 6, 5, 3, 5, 6, 5, 2]"
tainted cheese,15.5,17.76,"[17, 20, 13, 15, 8, 20]","[20, 12, 19, 19, 20, 20, 22, 18, 20, 12, 15, 20, 20, 18, 17, 17, 20, 18, 18, 16, 20, 12, 20, 20, 18, 20, 14, 15, 20, 19, 20, 20, 15, 15, 13, 20, 15]"
tamed looming triffid,N/A,127.5,N/A,"[120, 100, 170, 120]"
the great chameleon: master of disguise,477.17,669.4,"[450, 550, 560, 540, 500, 540, 6, 550, 700, 5, 540, 520, 550, 480, 380, 375, 510, 605, 550, 635, 500, 450, 635, 570, 570, 540, 540, 500, 550, 550, 550, 520, 635, 510, 7, 5]","[450, 650, 600, 695, 750, 600, 700, 600, 635, 635, 750, 595, 700, 690, 625, 625, 550, 650, 615, 475, 510, 650, 650, 650, 600, 625, 625, 630, 550, 600, 615, 700, 750, 650, 780, 750, 650, 610, 870, 480, 850, 850, 750, 680, 765, 765, 700, 570, 640, 640, 750, 700, 600, 600, 730, 730, 800, 650, 750, 650, 750, 630, 650, 730, 570, 650, 650, 750, 750, 750, 660, 750, 750, 750, 650, 770, 770, 520, 650, 700, 600, 630, 600, 600, 730, 670, 650, 650, 680, 700, 650, 650, 615, 570, 700, 580, 750, 750, 750, 650, 600, 550, 680, 625, 630, 650, 800, 800, 800, 765, 700, 750, 670, 750, 600, 795, 750, 800, 625, 625, 530, 600, 650, 650, 650, 570]"
thinking cap,N/A,201.36,N/A,"[150, 190, 190, 190, 190, 230, 230, 230, 185, 210, 220]"
totally legit bunnyfish leash,N/A,20,N/A,"[25, 20, 15, 20, 20]"
toucan's bill,N/A,N/A,N/A,N/A
toy lock-bot,N/A,1450,N/A,"[1450, 1450, 1450]"
tumbleweed attractor,70,112.27,"[70, 70]","[110, 130, 130, 100, 90, 90, 125, 110, 150, 100, 100]"
unearthly synthoid,N/A,62.5,N/A,"[50, 75]"
unicorn garland,N/A,19.13,N/A,"[16, 20, 14, 27, 30, 30, 11, 25, 20, 20, 11, 20, 18, 25, 12, 30, 30, 15, 15, 30, 10, 20, 22, 8, 31, 10, 14, 8, 16, 16, 15, 18, 15, 20, 27, 15, 10, 23, 10, 23, 15, 10, 25, 30, 31]"
violet protodrake leash,2,N/A,[2],N/A
void egg,N/A,20.5,N/A,"[18, 18, 24, 22]"
war seahorse,N/A,N/A,N/A,N/A
water spirit necklace,N/A,N/A,N/A,N/A
